"ID","tSS","tinf","tp","tc","Vp","Tp","Tc","Tincub","infected"
1,0,-4.11819213745973,1.69014992218759,18.3231557414942,25.8978235306867,5.80834205964732,16.6330058193066,4.11819213745973,1
2,0,-4.96495014356305,2.48890370933053,23.8400979901947,23.7900028502641,7.45385385289359,21.3511942808642,4.96495014356305,1
3,0,-4.54573064438603,1.83457459554392,14.7159892799222,23.8583020540128,6.38030523992995,12.8814146843783,4.54573064438603,1
4,0,-4.83936044072319,2.03911445353673,17.7083117435566,17.6992802711084,6.87847489425992,15.6691972900199,4.83936044072319,1
5,0,-3.94801003342973,3.48784217274374,22.4576587151921,24.3673572299417,7.43585220617347,18.9698165424483,3.94801003342973,1
6,0,-4.79614485327812,0.870321333082459,14.0804313372933,25.5316167992122,5.66646618636058,13.2101100042109,4.79614485327812,1
7,0,-5.43023137512981,0.754635895673619,19.0600931284853,19.9706126711391,6.18486727080342,18.3054572328117,5.43023137512981,1
8,0,-4.56215874217938,0.754417805375013,16.8671076525327,21.4848398252713,5.3165765475544,16.1126898471577,4.56215874217938,1
9,0,-3.62991087155891,2.64120680626001,18.0638665765666,21.6846466856604,6.27111767781892,15.4226597703066,3.62991087155891,1
10,0,-5.55295116633978,1.85454091675494,17.4354195584915,23.2146023492842,7.40749208309472,15.5808786417365,5.55295116633978,1
11,0,-5.87682886335036,1.11907276686385,23.2479696056496,24.3571320913942,6.99590163021421,22.1288968387857,5.87682886335036,1
12,0,-5.69521094175377,0.748975380088974,18.3719292596942,23.5208205055526,6.44418632184274,17.6229538796052,5.69521094175377,1
13,0,-4.44076653985217,0.985275270387094,12.7901778407653,32.9740623967683,5.42604181023926,11.8049025703782,4.44076653985217,1
14,0,-4.91867107044206,1.22636502779887,16.0305796448208,26.5222483560609,6.14503609824092,14.8042146170219,4.91867107044206,1
15,0,-4.34873676151611,1.31651968341789,17.1506117255241,28.176973449817,5.665256444934,15.8340920421062,4.34873676151611,1
16,0,-4.73210304808856,2.17205508593204,15.3172489197431,19.7642751139658,6.9041581340206,13.1451938338111,4.73210304808856,1
17,0,-4.37322518770737,1.08448667450742,10.1961015207925,24.6801227711535,5.45771186221479,9.11161484628508,4.37322518770737,1
18,0,-4.73874338176815,1.17343027963604,15.1575570343108,23.6888601715074,5.91217366140419,13.9841267546748,4.73874338176815,1
19,0,-4.80337402972117,2.20115690951784,18.2042375054899,20.9017832831537,7.00453093923901,16.0030805959721,4.80337402972117,1
20,0,-4.77144878682725,1.58793022952517,15.288696768602,26.4036916451952,6.35937901635242,13.7007665390768,4.77144878682725,1
21,0,-4.78091978953709,0.188683779905363,16.7856049256347,26.3936959695766,4.96960356944245,16.5969211457293,4.78091978953709,1
22,0,-4.57408907815772,0.757858441346992,17.2591438507845,26.3355695650518,5.33194751950472,16.5012854094375,4.57408907815772,1
23,0,-5.66011091492239,0.739461650792401,14.4217837647645,25.7217337022249,6.39957256571479,13.6823221139721,5.66011091492239,1
24,0,-3.61548839934678,2.05512353217655,18.0182888878915,24.4086921382679,5.67061193152332,15.963165355715,3.61548839934678,1
25,0,-4.35481242642494,0.644623589581112,17.7544288633663,26.2550463018664,4.99943601600605,17.1098052737851,4.35481242642494,1
26,0,-5.40331348060068,1.59837440389686,16.6460545845633,27.3471947547996,7.00168788449754,15.0476801806665,5.40331348060068,1
27,0,-5.18084111580091,1.21929346939762,20.8993880061498,18.965957846164,6.40013458519853,19.6800945367522,5.18084111580091,1
28,0,-4.49698120697903,0.480496938149813,14.4970058863153,37.5842156156256,4.97747814512885,14.0165089481655,4.49698120697903,1
29,0,-5.65352198580461,-0.172178698977882,14.5489178342613,25.7275520907454,5.48134328682673,14.7210965332392,5.65352198580461,1
